person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Alexander,Alexander the Great,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,Macedonia,politician,male,Q8409,https://www.wikidata.org/wiki/Q8409,
,,,,,military leader,,,,
,,,,,monarch,,,,
Antigonus,Antigonus I Monophthalmus,0382-01-01T00:00:00Z,0301-01-01T00:00:00Z,Macedonia,military leader,male,Q200401,https://www.wikidata.org/wiki/Q200401,
,,,,,military personnel,,,,
Ariosto,Ludovico Ariosto,1474-09-08T00:00:00Z,1533-07-06T00:00:00Z,,poet,male,Q48900,https://www.wikidata.org/wiki/Q48900,
,,,,,playwright,,,,
Augustus,Augustus,0163-09-23T00:00:00Z,0014-08-19T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q1405,https://www.wikidata.org/wiki/Q1405,
,,,,,ancient Roman military personnel,,,,
,,,,,ruler,,,,
Chasan,Chasan,,,,,,,,
Chasan,Chasan,,,,,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
