person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Alexander,Alexander the Great,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,Macedonia,politician,male,Q8409,https://www.wikidata.org/wiki/Q8409,
,,,,,military leader,,,,
,,,,,monarch,,,,
Alexander,Alexander the Great,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,Macedonia,politician,male,Q8409,https://www.wikidata.org/wiki/Q8409,
,,,,,military leader,,,,
,,,,,monarch,,,,
Alexander,Alexander the Great,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,Macedonia,politician,male,Q8409,https://www.wikidata.org/wiki/Q8409,
,,,,,military leader,,,,
,,,,,monarch,,,,
Alexander,Alexander the Great,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,Macedonia,politician,male,Q8409,https://www.wikidata.org/wiki/Q8409,
,,,,,military leader,,,,
,,,,,monarch,,,,
Alexander,Alexander the Great,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,Macedonia,politician,male,Q8409,https://www.wikidata.org/wiki/Q8409,
,,,,,military leader,,,,
,,,,,monarch,,,,
Amadis,Amadis of Gaul,,,,,male,Q42702348,https://www.wikidata.org/wiki/Q42702348,
Amyot,Jacques Amyot,1513-10-30T00:00:00Z,1593-02-06T00:00:00Z,France,Catholic priest,male,Q462371,https://www.wikidata.org/wiki/Q462371,notes
,,,,,Catholic bishop,,,,
,,,,,translator,,,,
,,,,,writer,,,,
Anacreon,Anacreon,0570-01-01T00:00:00Z,0485-01-01T00:00:00Z,,poet,male,Q213484,https://www.wikidata.org/wiki/Q213484,
,,,,,writer,,,,
,,,,,epigrammatist,,,,
,,,,,Hofmeister,,,,
Andrew,"Andrew, Duke of Calabria",1327-10-30T00:00:00Z,1345-01-01T00:00:00Z,Kingdom of Hungary,monarch,male,Q501504,https://www.wikidata.org/wiki/Q501504,king consort of Naples
Antigenides the musician,Antigenidas,,,,poet,male,Q768633,https://www.wikidata.org/wiki/Q768633,
Antigonus,Antigonus I Monophthalmus,0382-01-01T00:00:00Z,0301-01-01T00:00:00Z,Macedonia,military leader,male,Q200401,https://www.wikidata.org/wiki/Q200401,
,,,,,military personnel,,,,
Antisthenes,Antisthenes,0445-01-01T00:00:00Z,0365-01-01T00:00:00Z,Classical Athens,philosopher,male,Q179149,https://www.wikidata.org/wiki/Q179149,
Antisthenes,Antisthenes,0445-01-01T00:00:00Z,0365-01-01T00:00:00Z,Classical Athens,philosopher,male,Q179149,https://www.wikidata.org/wiki/Q179149,
