person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Alcibiades,Alcibiades,0450-01-01T00:00:00Z,0404-01-01T00:00:00Z,Classical Athens,politician,male,Q187982,https://www.wikidata.org/wiki/Q187982,
,,,,,military personnel,,,,
,,,,,army officer,,,,
Ariadne,Ariadne,,,,,female,Q184874,https://www.wikidata.org/wiki/Q184874,
"Aristodemus, king of the Messenians",Aristodemus,,0724-01-01T00:00:00Z,Messenia,sovereign,male,Q2709649,https://www.wikidata.org/wiki/Q2709649,
Atalanta,Atalanta,,,,,female,Q190323,https://www.wikidata.org/wiki/Q190323,
Caesar,Julius Caesar,0100-07-12T00:00:00Z,0144-03-15T00:00:00Z,Ancient Rome,orator,male,Q1048,https://www.wikidata.org/wiki/Q1048,
,,,,,memoirist,,,,
,,,,,ruler,,,,
,,,,,Ancient Roman historian,,,,
,,,,,poet,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,politician,,,,
,,,,,military leader,,,,
,,,,,writer,,,,
,,,,,historian,,,,
Cambyses,Cambyses II,0559-01-01T00:00:00Z,0522-01-01T00:00:00Z,,sovereign,male,Q182483,https://www.wikidata.org/wiki/Q182483,
Catullus,Catullus,0184-01-01T00:00:00Z,0154-01-01T00:00:00Z,Ancient Rome,poet,male,Q163079,https://www.wikidata.org/wiki/Q163079,
Chrysippus,Chrysippus of Soli,0281-01-01T00:00:00Z,0208-01-01T00:00:00Z,Soli,philosopher,male,Q211411,https://www.wikidata.org/wiki/Q211411,
,,,,,writer,,,,
,,,,,mathematician,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
