id,label
210_THE_TWO_GOATS,210_THE_TWO_GOATS
68_THE_LARK_AND_HER_LITTLE_ONES_WITH_THE_OWNER_OF_A_FIELD,68_THE_LARK_AND_HER_LITTLE_ONES_WITH_THE_OWNER_OF_A_FIELD
Tortoise,Tortoise
105_THE_BEAR_AND_THE_TWO_FRIENDS,105_THE_BEAR_AND_THE_TWO_FRIENDS
110_THE_MULE_THAT_BOASTED_OF_HIS_FAMILY,110_THE_MULE_THAT_BOASTED_OF_HIS_FAMILY
John Rabbit,John Rabbit
54_KING_GASTER_AND_THE_MEMBERS,54_KING_GASTER_AND_THE_MEMBERS
191_THE_TORTOISE_AND_THE_TWO_DUCKS,191_THE_TORTOISE_AND_THE_TWO_DUCKS
160_THE_ADVANTAGE_OF_BEING_CLEVER,160_THE_ADVANTAGE_OF_BEING_CLEVER
rat,rat
Cook,Cook
222_THE_CRAB_AND_ITS_DAUGHTER,222_THE_CRAB_AND_ITS_DAUGHTER
brothers,brothers
Lawyer,Lawyer
Giles,Giles
107_THE_STAG_VIEWING_HIMSELF_IN_THE_STREAM,107_THE_STAG_VIEWING_HIMSELF_IN_THE_STREAM
Grapes,Grapes
Tircis,Tircis
Sparrow,Sparrow
Satan,Satan
174_THE_SCHOOLBOY_THE_PEDANT_AND_THE_NURSERY_GARDENER,174_THE_SCHOOLBOY_THE_PEDANT_AND_THE_NURSERY_GARDENER
220_LOVE_AND_FOLLY,220_LOVE_AND_FOLLY
226_THE_FOX_AND_THE_TURKEYS,226_THE_FOX_AND_THE_TURKEYS
Ox,Ox
132_THE_CURATE_AND_THE_CORPSE,132_THE_CURATE_AND_THE_CORPSE
Youth,Youth
Ostrich,Ostrich
Daphnis,Daphnis
96_THE_ASS_THAT_CARRIED_THE_RELICS,96_THE_ASS_THAT_CARRIED_THE_RELICS
21_THE_OAK_AND_THE_REED,21_THE_OAK_AND_THE_REED
195_THE_RABBITS,195_THE_RABBITS
Boy,Boy
Gnat,Gnat
126_THE_HERON,126_THE_HERON
Young Men,Young Men
Heron,Heron
Steer,Steer
Unicorn,Unicorn
Sparrow Hawk,Sparrow Hawk
Falcon,Falcon
7_THE_WALLET,7_THE_WALLET
Avarice,Avarice
Mirrors,Mirrors
140_THE_CAT_THE_WEASEL_AND_THE_LITTLE_RABBIT,140_THE_CAT_THE_WEASEL_AND_THE_LITTLE_RABBIT
Flea,Flea
Master Cat,Master Cat
Noble,Noble
45_THE_CAT_CHANGED_INTO_A_WOMAN,45_THE_CAT_CHANGED_INTO_A_WOMAN
Fortitude,Fortitude
99_THE_LION_GOING_TO_WAR,99_THE_LION_GOING_TO_WAR
Gazelle,Gazelle
83_THE_HORSE_AND_THE_WOLF,83_THE_HORSE_AND_THE_WOLF
103_THE_LION_AND_THE_HUNTER,103_THE_LION_AND_THE_HUNTER
Greyhounds,Greyhounds
74_THE_JAY_DRESSED_IN_PEACOCKS_PLUMES,74_THE_JAY_DRESSED_IN_PEACOCKS_PLUMES
wise man,wise man
Head,Head
cabbage,cabbage
peasant,peasant
Girls,Girls
Bumpkin,Bumpkin
Hunter,Hunter
25_THE_MIDDLEAGED_MAN_AND_THE_TWO_WIDOWS,25_THE_MIDDLEAGED_MAN_AND_THE_TWO_WIDOWS
10_THE_MAN_AND_HIS_IMAGE,10_THE_MAN_AND_HIS_IMAGE
78_THE_FROG_AND_THE_RAT,78_THE_FROG_AND_THE_RAT
Psicarpax,Psicarpax
Grasshopper,Grasshopper
She-Goat,She-Goat
Miraut,Miraut
chanticleer,chanticleer
maid,maid
son,son
King Phœbus,King Phœbus
Amaryllis,Amaryllis
Monk,Monk
sot,sot
Wax Taper,Wax Taper
Shepherd,Shepherd
Bees,Bees
Hero,Hero
Cloud,Cloud
Artapax,Artapax
Master Rat,Master Rat
Dragon,Dragon
hunters,hunters
beavers,beavers
Stag,Stag
Phillis,Phillis
Chickens,Chickens
Thief,Thief
Miser,Miser
Fury,Fury
Great Grandchildren,Great Grandchildren
15_SIMONIDES_RESCUED_BY_THE_GODS,15_SIMONIDES_RESCUED_BY_THE_GODS
thief,thief
Passenger,Passenger
chickens,chickens
monster,monster
40_THE_DOG_AND_HER_COMPANION,40_THE_DOG_AND_HER_COMPANION
horseman,horseman
Time,Time
North Wind,North Wind
Puss,Puss
King's Son,King's Son
150_THE_JOKER_AND_THE_FISHES,150_THE_JOKER_AND_THE_FISHES
Nanny-goat,Nanny-goat
Ratapon,Ratapon
Megæra,Megæra
King Tereus,King Tereus
32_THE_HARE_AND_THE_FROGS,32_THE_HARE_AND_THE_FROGS
Bullock,Bullock
86_THE_ORACLE_AND_THE_IMPIOUS_MAN,86_THE_ORACLE_AND_THE_IMPIOUS_MAN
Cur,Cur
37_THE_MILLER_HIS_SON_AND_THE_ASS,37_THE_MILLER_HIS_SON_AND_THE_ASS
117_THE_CARTER_STUCK_IN_THE_MUD,117_THE_CARTER_STUCK_IN_THE_MUD
nymphs,nymphs
22_AGAINST_THOSE_WHO_ARE_HARD_TO_PLEASE,22_AGAINST_THOSE_WHO_ARE_HARD_TO_PLEASE
