person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Agesilaus,Agesilaus II,0444-01-01T00:00:00Z,0360-01-01T00:00:00Z,Sparta,military leader,male,Q271850,https://www.wikidata.org/wiki/Q271850,
,,,,,diplomat,,,,
,,,,,ruler,,,,
Alexander,Alexander the Great,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,Macedonia,politician,male,Q8409,https://www.wikidata.org/wiki/Q8409,
,,,,,military leader,,,,
,,,,,monarch,,,,
Alexander,Alexander the Great,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,Macedonia,politician,male,Q8409,https://www.wikidata.org/wiki/Q8409,
,,,,,military leader,,,,
,,,,,monarch,,,,
Alexander,Alexander the Great,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,Macedonia,politician,male,Q8409,https://www.wikidata.org/wiki/Q8409,
,,,,,military leader,,,,
,,,,,monarch,,,,
Antisthenes,Antisthenes,0445-01-01T00:00:00Z,0365-01-01T00:00:00Z,Classical Athens,philosopher,male,Q179149,https://www.wikidata.org/wiki/Q179149,
Aristotle,Aristotle,0384-01-01T00:00:00Z,0322-01-01T00:00:00Z,,philosopher,male,Q868,https://www.wikidata.org/wiki/Q868,
Bias,Bias of Priene,0600-01-01T00:00:00Z,0530-01-01T00:00:00Z,,lawyer,male,Q365977,https://www.wikidata.org/wiki/Q365977,
,,,,,philosopher,,,,
,,,,,orator,,,,
Cato,Cato the Elder,0234-01-01T00:00:00Z,0149-01-01T00:00:00Z,Ancient Rome,writer,male,Q180081,https://www.wikidata.org/wiki/Q180081,
,,,,,Ancient Roman historian,,,,
,,,,,economist,,,,
,,,,,poet,,,,
,,,,,Ancient Roman politician,,,,
,,,,,philosopher,,,,
,,,,,orator,,,,
,,,,,historian,,,,
,,,,,soldier,,,,
Chaucer,Geoffrey Chaucer,1343-01-01T00:00:00Z,1400-10-25T00:00:00Z,Kingdom of England,linguist,male,Q5683,https://www.wikidata.org/wiki/Q5683,notes
,,,,,poet,,,,
,,,,,lyricist,,,,
,,,,,philosopher,,,,
,,,,,politician,,,,
,,,,,translator,,,,
,,,,,astrologer,,,,
,,,,,writer,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Demades,Demades,0380-01-01T00:00:00Z,0317-01-01T00:00:00Z,Classical Athens,politician,male,Q211430,https://www.wikidata.org/wiki/Q211430,
,,,,,orator,,,,
Erasmus,Erasmus,1466-10-28T00:00:00Z,1536-07-12T00:00:00Z,Seventeen Provinces,translator,male,Q43499,https://www.wikidata.org/wiki/Q43499,
,,,,,philosopher,,,,
,,,,,theologian,,,,
,,,,,essayist,,,,
,,,,,Bible translator,,,,
,,,,,writer,,,,
,,,,,latinist,,,,
,,,,,Latin Catholic priest,,,,
,,,,,university teacher,,,,
,,,,,Lady Margaret's Professor of Divinity,,,,
Horace,Horace,0165-12-08T00:00:00Z,0108-11-27T00:00:00Z,Ancient Rome,poet,male,Q6197,https://www.wikidata.org/wiki/Q6197,notes
,,,,,writer,,,,
,,,,,philosopher,,,,
