person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Socrates,Socrates,0470-01-01T00:00:00Z,0399-02-15T00:00:00Z,Classical Athens,philosopher,male,Q913,https://www.wikidata.org/wiki/Q913,
,,,,,teacher,,,,
,,,,,writer,,,,
,,,,,ethicist,,,,
Tacitus,Tacitus,0055-01-01T00:00:00Z,0120-01-01T00:00:00Z,Ancient Rome,historian,male,Q2161,https://www.wikidata.org/wiki/Q2161,notes
,,,,,politician,,,,
,,,,,military personnel,,,,
,,,,,poet,,,,
,,,,,biographer,,,,
,,,,,annalist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
Tiberius,Tiberius,0142-11-16T00:00:00Z,0037-03-16T00:00:00Z,Ancient Rome,military personnel,male,Q1407,https://www.wikidata.org/wiki/Q1407,
,,,,,politician,,,,
,,,,,soldier,,,,
Venus,Venus,,,,,female,Q47652,https://www.wikidata.org/wiki/Q47652,
Venus,Venus,,,,,female,Q47652,https://www.wikidata.org/wiki/Q47652,
Venus,Venus,,,,,female,Q47652,https://www.wikidata.org/wiki/Q47652,
