person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Aquinas,Thomas Aquinas,1225-01-01T00:00:00Z,1274-03-07T00:00:00Z,,theologian,male,Q9438,https://www.wikidata.org/wiki/Q9438,
,,,,,professor,,,,
,,,,,Latin Catholic priest,,,,
,,,,,philosopher,,,,
,,,,,writer,,,,
,,,,,Catholic theologian,,,,
,,,,,friar,,,,
,,,,,theology teacher,,,,
Aristotle,Aristotle,0384-01-01T00:00:00Z,0322-01-01T00:00:00Z,,philosopher,male,Q868,https://www.wikidata.org/wiki/Q868,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
elder Cato,Cato the Elder,0234-01-01T00:00:00Z,0149-01-01T00:00:00Z,Ancient Rome,writer,male,Q180081,https://www.wikidata.org/wiki/Q180081,
,,,,,Ancient Roman historian,,,,
,,,,,economist,,,,
,,,,,poet,,,,
,,,,,Ancient Roman politician,,,,
,,,,,philosopher,,,,
,,,,,orator,,,,
,,,,,historian,,,,
,,,,,soldier,,,,
Flora,Flora,,,,,female,Q209644,https://www.wikidata.org/wiki/Q209644,
Hippomachus,Hippomachus,,,Classical Athens,,male,Q127351894,https://www.wikidata.org/wiki/Q127351894,
Horace,Horace,0165-12-08T00:00:00Z,0108-11-27T00:00:00Z,Ancient Rome,poet,male,Q6197,https://www.wikidata.org/wiki/Q6197,notes
,,,,,writer,,,,
,,,,,philosopher,,,,
"James, King of Naples and Sicily",James II of Aragon,1267-08-10T00:00:00Z,1327-11-02T00:00:00Z,Crown of Aragon,troubadour,male,Q312735,https://www.wikidata.org/wiki/Q312735,
,,,,,poet,,,,
,,,,,composer,,,,
,,,,,ruler,,,,
Juvenal,Juvenal,0055-01-01T00:00:00Z,0200-01-01T00:00:00Z,Ancient Rome,poet,male,Q193800,https://www.wikidata.org/wiki/Q193800,notes
,,,,,writer,,,,
,,,,,historian,,,,
,,,,,satirist,,,,
Livy,Titus Livius,0159-01-01T00:00:00Z,0017-01-01T00:00:00Z,Ancient Rome,historian,male,Q2039,https://www.wikidata.org/wiki/Q2039,notes
,,,,,writer,,,,
,,,,,poet,,,,
Lysias,Lysias,0445-01-01T00:00:00Z,0380-01-01T00:00:00Z,,orator,male,Q310164,https://www.wikidata.org/wiki/Q310164,
,,,,,logographer,,,,
,,,,,writer,,,,
Ovid,Ovid,0143-03-20T00:00:00Z,0017-01-01T00:00:00Z,Ancient Rome,poet,male,Q7198,https://www.wikidata.org/wiki/Q7198,notes
Plato,Plato,0428-01-01T00:00:00Z,0348-01-01T00:00:00Z,Classical Athens,philosopher,male,Q859,https://www.wikidata.org/wiki/Q859,
,,,,,epigrammatist,,,,
,,,,,poet,,,,
,,,,,writer,,,,
,,,,,philosopher of law,,,,
Plato,Plato,0428-01-01T00:00:00Z,0348-01-01T00:00:00Z,Classical Athens,philosopher,male,Q859,https://www.wikidata.org/wiki/Q859,
,,,,,epigrammatist,,,,
,,,,,poet,,,,
,,,,,writer,,,,
,,,,,philosopher of law,,,,
Plato,Plato,0428-01-01T00:00:00Z,0348-01-01T00:00:00Z,Classical Athens,philosopher,male,Q859,https://www.wikidata.org/wiki/Q859,
,,,,,epigrammatist,,,,
,,,,,poet,,,,
,,,,,writer,,,,
,,,,,philosopher of law,,,,
Plutarch,Plutarch,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,Ancient Rome,essayist,male,Q41523,https://www.wikidata.org/wiki/Q41523,notes
,,,,,priest,,,,
,,,,,magistrate,,,,
,,,,,biographer,,,,
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,philosopher,,,,
Seneca,Seneca,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z,Ancient Rome,playwright,male,Q2054,https://www.wikidata.org/wiki/Q2054,notes
,,,,,poet,,,,
,,,,,philosopher,,,,
,,,,,aphorist,,,,
,,,,,statesperson,,,,
,,,,,politician,,,,
,,,,,writer,,,,
Seneca,Seneca,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z,Ancient Rome,playwright,male,Q2054,https://www.wikidata.org/wiki/Q2054,notes
,,,,,poet,,,,
,,,,,philosopher,,,,
,,,,,aphorist,,,,
,,,,,statesperson,,,,
,,,,,politician,,,,
,,,,,writer,,,,
Seneca,Seneca,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z,Ancient Rome,playwright,male,Q2054,https://www.wikidata.org/wiki/Q2054,notes
,,,,,poet,,,,
,,,,,philosopher,,,,
,,,,,aphorist,,,,
,,,,,statesperson,,,,
,,,,,politician,,,,
,,,,,writer,,,,
