person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
,,,,,,,,,
Alexander,Alexander the Great,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,Macedonia,politician,male,Q8409,https://www.wikidata.org/wiki/Q8409,
,,,,,military leader,,,,
,,,,,monarch,,,,
Ariosto,Ludovico Ariosto,1474-09-08T00:00:00Z,1533-07-06T00:00:00Z,,poet,male,Q48900,https://www.wikidata.org/wiki/Q48900,notes
,,,,,playwright,,,,
Bertheville,Bertheville,,,,,,,,
Chrysippus,Chrysippus of Soli,0281-01-01T00:00:00Z,0208-01-01T00:00:00Z,Soli,philosopher,male,Q211411,https://www.wikidata.org/wiki/Q211411,
,,,,,writer,,,,
,,,,,mathematician,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cleomenes,Cleomenes I,0600-01-01T00:00:00Z,0490-01-01T00:00:00Z,Sparta,ruler,male,Q44005,https://www.wikidata.org/wiki/Q44005,
Count de Brienne,"Anthony II, Count of Ligny",,1557-02-08T00:00:00Z,,military leader,male,Q2392850,https://www.wikidata.org/wiki/Q2392850,
Darius,Darius I of Persia,0550-01-01T00:00:00Z,0486-01-01T00:00:00Z,Achaemenid Empire,statesperson,male,Q44387,https://www.wikidata.org/wiki/Q44387,
,,,0486-11-01T00:00:00Z,,military leader,,,,
,,,,,monarch,,,,
Duke Ottaviano Fregosa,Ottaviano Fregoso,1470-01-01T00:00:00Z,1524-01-01T00:00:00Z,Republic of Genoa,politician,male,Q3887170,https://www.wikidata.org/wiki/Q3887170,
Lucius AEmilius Regillus,Lucius Aemilius Regillus,0300-01-01T00:00:00Z,0200-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q763405,https://www.wikidata.org/wiki/Q763405,
,,,,,ancient Roman military personnel,,,,
Marquess of Pescara,Fernando d'Avalos,1489-01-01T00:00:00Z,1525-12-01T00:00:00Z,Kingdom of Naples,condottiero,male,Q699488,https://www.wikidata.org/wiki/Q699488,
,,1490-01-01T00:00:00Z,1525-01-01T00:00:00Z,,military personnel,,,,
Monsieur d'Aubigny,"Bernard Stewart, 3rd Lord of Aubigny",1452-01-01T00:00:00Z,1508-06-15T00:00:00Z,Kingdom of France,soldier,male,Q2747051,https://www.wikidata.org/wiki/Q2747051,
,,,1508-01-01T00:00:00Z,,diplomat,,,,
,,,,,seigneur,,,,
,,,,,writer,,,,
Orodes,Orodes (Aeneid),,,,mythological character,mael,,,
Polypercon,Polyperchon,0394-01-01T00:00:00Z,0303-01-01T00:00:00Z,Macedonia,military officer,male,Q312008,https://www.wikidata.org/wiki/Q312008,
Quint. Curt,Quintus Curtius Rufus,0100-01-01T00:00:00Z,0050-01-01T00:00:00Z,Ancient Rome,historian,male,Q5959,https://www.wikidata.org/wiki/Q5959,notes
,,,,,writer,,,,
,,,,,politician,,,,
Signor Fabricio Colonna,Fabrizio I Colonna,1450-01-01T00:00:00Z,1520-03-25T00:00:00Z,Kingdom of Naples,condottiero,male,Q2713766,https://www.wikidata.org/wiki/Q2713766,
,,,,,career soldier,,,,
,,,,,military officer,,,,
Signor Juliano Romero,Julián Romero,1518-01-01T00:00:00Z,1577-01-01T00:00:00Z,Spain,military personnel,male,Q1992193,https://www.wikidata.org/wiki/Q1992193,
Socrates,Socrates,0470-01-01T00:00:00Z,0399-02-15T00:00:00Z,Classical Athens,philosopher,male,Q913,https://www.wikidata.org/wiki/Q913,
,,,,,teacher,,,,
,,,,,writer,,,,
,,,,,ethicist,,,,
Virgil,Virgil,0170-10-15T00:00:00Z,0119-09-21T00:00:00Z,Ancient Rome,poet,male,Q1398,https://www.wikidata.org/wiki/Q1398,notes
,,,,,writer,,,,
Xenophon,Xenophon,0430-01-01T00:00:00Z,0354-01-01T00:00:00Z,Classical Athens,historian,male,Q129772,https://www.wikidata.org/wiki/Q129772,
,,0430-01-01T00:00:00Z,,,mercenary,,,,
,,,,,philosopher,,,,
,,,,,military personnel,,,,
,,,,,writer,,,,
