person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Virgil,Virgil,0170-10-15T00:00:00Z,0119-09-21T00:00:00Z,Ancient Rome,poet,male,Q1398,https://www.wikidata.org/wiki/Q1398,notes
,,,,,writer,,,,
Horace,Horace,0165-12-08T00:00:00Z,0108-11-27T00:00:00Z,Ancient Rome,poet,male,Q6197,https://www.wikidata.org/wiki/Q6197,notes
,,,,,writer,,,,
,,,,,philosopher,,,,
Martial,Martial,0040-03-01T00:00:00Z,0104-01-01T00:00:00Z,Ancient Rome,poet,male,Q2098,https://www.wikidata.org/wiki/Q2098,notes
,,,,,writer,,,,
Lucan,Lucan,0039-11-03T00:00:00Z,0065-04-30T00:00:00Z,Ancient Rome,poet,male,Q188646,https://www.wikidata.org/wiki/Q188646,notes
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,courtier,,,,
