person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Aesop,Aesop,0620-01-01T00:00:00Z,0564-01-01T00:00:00Z,,fabulist,male,Q43423,https://www.wikidata.org/wiki/Q43423,
,,,,,mythographer,,,,
,,,,,philosopher,,,,
,,,,,writer,,,,
Amurath I,Murad I,1326-06-29T00:00:00Z,1389-06-28T00:00:00Z,,monarch,male,Q96261,https://www.wikidata.org/wiki/Q96261,
Antigonus,Antigonus I Monophthalmus,0382-01-01T00:00:00Z,0301-01-01T00:00:00Z,Macedonia,military leader,male,Q200401,https://www.wikidata.org/wiki/Q200401,
,,,,,military personnel,,,,
Antipater,Antipater,0397-01-01T00:00:00Z,0319-01-01T00:00:00Z,Macedonia,,male,Q204760,https://www.wikidata.org/wiki/Q204760,
Arminius,Arminius,0117-01-01T00:00:00Z,0021-01-01T00:00:00Z,Ancient Rome,war chief,male,Q68880,https://www.wikidata.org/wiki/Q68880,
Atticus,Titus Pomponius Atticus,0110-01-01T00:00:00Z,0132-01-01T00:00:00Z,Ancient Rome,writer,male,Q311733,https://www.wikidata.org/wiki/Q311733,
,,,,,philosopher,,,,
,,,,,banker,,,,
,,,,,poet,,,,
,,,,,Ancient Roman historian,,,,
,,,,,annalist,,,,
,,,,,Ancient Roman politician,,,,
"Bishop of Orleans, the Sieur de Morvilliers",Jean de Morvillier,1506-12-01T00:00:00Z,1577-10-23T00:00:00Z,France,politician,male,Q3175603,https://www.wikidata.org/wiki/Q3175603,
,,,,,Catholic bishop,,,,
Boleslaus,Bolesław I the Brave,0967-01-01T00:00:00Z,1025-06-17T00:00:00Z,Duchy of Poland,politician,male,Q53436,https://www.wikidata.org/wiki/Q53436,
"Boleslaus, king of Poland",Bolesław I the Brave,0967-01-01T00:00:00Z,1025-06-17T00:00:00Z,Duchy of Poland,politician,male,Q53436,https://www.wikidata.org/wiki/Q53436,
Cararic,Chararic,0500-01-01T00:00:00Z,0509-01-01T00:00:00Z,,,male,Q1063034,https://www.wikidata.org/wiki/Q1063034,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cinna,Lucius Cornelius Cinna,0135-01-01T00:00:00Z,0184-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q171083,https://www.wikidata.org/wiki/Q171083,
,,,,,ancient Roman military personnel,,,,
Cotys,Cotys III,0101-01-01T00:00:00Z,0019-01-01T00:00:00Z,Odrysian kingdom,sovereign,male,Q2998641,https://www.wikidata.org/wiki/Q2998641,notes
,,,,Ancient Rome,,,,,
Dandamis,Dandamis,,,India,philosopher,male,Q5215660,https://www.wikidata.org/wiki/Q5215660,
daughter of Sejanus,Aelia Junilla,0020-01-01T00:00:00Z,0031-01-01T00:00:00Z,Ancient Rome,,female,Q4531268,https://www.wikidata.org/wiki/Q4531268,
Diogenes,Diogenes Laërtius,0180-01-01T00:00:00Z,0240-01-01T00:00:00Z,Ancient Rome,historian,male,Q59138,https://www.wikidata.org/wiki/Q59138,
,,,,,biographer,,,,
,,,,,philosopher,,,,
,,,,,philosophy historian,,,,
Epaminondas,Epaminondas,0418-01-01T00:00:00Z,0362-01-01T00:00:00Z,Thebes,politician,male,Q190436,https://www.wikidata.org/wiki/Q190436,
,,,,,military personnel,,,,
,,,,,military leader,,,,
,,,,,statesperson,,,,
,,,,,army officer,,,,
Epaminondas,Epaminondas,0418-01-01T00:00:00Z,0362-01-01T00:00:00Z,Thebes,politician,male,Q190436,https://www.wikidata.org/wiki/Q190436,
,,,,,military personnel,,,,
,,,,,military leader,,,,
,,,,,statesperson,,,,
,,,,,army officer,,,,
Epaminondas,Epaminondas,0418-01-01T00:00:00Z,0362-01-01T00:00:00Z,Thebes,politician,male,Q190436,https://www.wikidata.org/wiki/Q190436,
,,,,,military personnel,,,,
,,,,,military leader,,,,
,,,,,statesperson,,,,
,,,,,army officer,,,,
Eumenes,Eumenes,0362-01-01T00:00:00Z,0316-01-01T00:00:00Z,Macedonia,military officer,male,Q297366,https://www.wikidata.org/wiki/Q297366,
,,0363-01-01T00:00:00Z,,,military personnel,,,,
,,,,,satrap,,,,
Fabricius,Gaius Fabricius Luscinus,,,Ancient Rome,ancient Roman diplomat,male,Q1196109,https://www.wikidata.org/wiki/Q1196109,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
Gelo,Gelo,0600-01-01T00:00:00Z,0478-01-01T00:00:00Z,ancient Syracuse,politician,male,Q468608,https://www.wikidata.org/wiki/Q468608,
"Henri, Duc de Guise","Henry I of Lorraine, duke of Guise",1550-12-31T00:00:00Z,1588-12-23T00:00:00Z,France,politician,male,Q313700,https://www.wikidata.org/wiki/Q313700,notes
,,,,,military personnel,,,,
Hyperides,Hypereides,0390-01-01T00:00:00Z,0322-01-01T00:00:00Z,Classical Athens,orator,male,Q314447,https://www.wikidata.org/wiki/Q314447,
,,0389-01-01T00:00:00Z,,,politician,,,,
,,0388-01-01T00:00:00Z,,,lawyer,,,,
,,,,,military personnel,,,,
Jaropelk,Yaropolk I of Kiev,,0978-06-11T00:00:00Z,Kievan Rus',monarch,male,Q311291,https://www.wikidata.org/wiki/Q311291,
"Jaropelk, Duke of Russia",Yaropolk I of Kiev,,0978-06-11T00:00:00Z,Kievan Rus',monarch,male,Q311291,https://www.wikidata.org/wiki/Q311291,
King Clovis,Clovis I,0466-01-01T00:00:00Z,0511-11-27T00:00:00Z,Francia,monarch,male,Q82339,https://www.wikidata.org/wiki/Q82339,
"King of Navarre, afterwards Henry IV",Henry IV of France,1553-12-13T00:00:00Z,1610-05-14T00:00:00Z,Kingdom of France,politician,male,Q936976,https://www.wikidata.org/wiki/Q936976,notes
,,,,,monarch,,,,
,,,,,military commander,,,,
L. Sylla,Lakamy Sylla,,,,researcher,,Q92172807,https://www.wikidata.org/wiki/Q92172807,
Livy,Titus Livius,0159-01-01T00:00:00Z,0017-01-01T00:00:00Z,Ancient Rome,historian,male,Q2039,https://www.wikidata.org/wiki/Q2039,notes
,,,,,writer,,,,
,,,,,poet,,,,
Livy,Titus Livius,0159-01-01T00:00:00Z,0017-01-01T00:00:00Z,Ancient Rome,historian,male,Q2039,https://www.wikidata.org/wiki/Q2039,notes
,,,,,writer,,,,
,,,,,poet,,,,
Lucan,Lucan,0039-11-03T00:00:00Z,0065-04-30T00:00:00Z,Ancient Rome,poet,male,Q188646,https://www.wikidata.org/wiki/Q188646,notes
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,courtier,,,,
Lucretius,Lucretius,0194-01-01T00:00:00Z,0155-01-01T00:00:00Z,Ancient Rome,poet,male,Q47154,https://www.wikidata.org/wiki/Q47154,notes
,,,,,philosopher,,,,
,,,,,writer,,,,
Lysimachus,Lysimachus,0361-01-01T00:00:00Z,0281-01-01T00:00:00Z,Macedonia,sovereign,male,Q32133,https://www.wikidata.org/wiki/Q32133,
,,0355-01-01T00:00:00Z,0281-02-01T00:00:00Z,Thrace,politician,,,,
,,,,,military personnel,,,,
Mohammed II,Mehmed II,1432-03-30T00:00:00Z,1481-05-03T00:00:00Z,,monarch,male,Q34503,https://www.wikidata.org/wiki/Q34503,
,,,,,poet,,,,
Montaigne,Michel de Montaigne,1533-02-28T00:00:00Z,1592-09-13T00:00:00Z,Kingdom of France,philosopher,male,Q41568,https://www.wikidata.org/wiki/Q41568,
,,,,,translator,,,,
,,,,,jurist,,,,
,,,,,essayist,,,,
,,,,,autobiographer,,,,
,,,,,politician,,,,
,,,,,poet lawyer,,,,
,,,,,French moralist,,,,
,,,,,writer,,,,
,,,,,poet,,,,
,,,,,prose writer,,,,
Ovid,Ovid,0143-03-20T00:00:00Z,0017-01-01T00:00:00Z,Ancient Rome,poet,male,Q7198,https://www.wikidata.org/wiki/Q7198,notes
P. Sulpicius,Publius Sulpicius Rufus,,0100-01-01T00:00:00Z,Ancient Rome,ancient Roman military personnel,male,Q3631240,https://www.wikidata.org/wiki/Q3631240,
,,,,,Ancient Roman politician,,,,
Philippides,Philippides,,,Classical Athens,comedy writer,male,Q3381039,https://www.wikidata.org/wiki/Q3381039,
,,,,,poet,,,,
Plato,Plato,0428-01-01T00:00:00Z,0348-01-01T00:00:00Z,Classical Athens,philosopher,male,Q859,https://www.wikidata.org/wiki/Q859,
,,,,,epigrammatist,,,,
,,,,,poet,,,,
,,,,,writer,,,,
,,,,,philosopher of law,,,,
Plutarch,Plutarch,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,Ancient Rome,essayist,male,Q41523,https://www.wikidata.org/wiki/Q41523,notes
,,,,,priest,,,,
,,,,,magistrate,,,,
,,,,,biographer,,,,
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,philosopher,,,,
Pompey,Pompey,0106-09-29T00:00:00Z,0148-09-28T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q125414,https://www.wikidata.org/wiki/Q125414,
,,,,,ancient Roman military personnel,,,,
,,,,,politician,,,,
Pomponius Flaccus,Lucius Pomponius Flaccus,0100-01-01T00:00:00Z,0033-01-01T00:00:00Z,Ancient Rome,politician,male,Q1215588,https://www.wikidata.org/wiki/Q1215588,
,,,,,military personnel,,,,
Pomponius Flaccus,Lucius Pomponius Flaccus,0100-01-01T00:00:00Z,0033-01-01T00:00:00Z,Ancient Rome,politician,male,Q1215588,https://www.wikidata.org/wiki/Q1215588,
,,,,,military personnel,,,,
Propertius,Propertius,0147-01-01T00:00:00Z,0116-01-01T00:00:00Z,Ancient Rome,poet,male,Q8827,https://www.wikidata.org/wiki/Q8827,notes
,,,,,writer,,,,
,,,,,elegist,,,,
Pyrrhus,Pyrrhus,0318-01-01T00:00:00Z,0272-01-01T00:00:00Z,Epirus,statesperson,male,Q172353,https://www.wikidata.org/wiki/Q172353,
,,,,,monarch,,,,
,,,,,politician,,,,
,,,,,military personnel,,,,
Pythagoras,Pythagoras,0582-01-01T00:00:00Z,0490-01-01T00:00:00Z,Samos,mathematician,male,Q10261,https://www.wikidata.org/wiki/Q10261,
,,,,,philosopher,,,,
,,,,,politician,,,,
,,,,,writer,,,,
,,,,,musicologist,,,,
,,,,,music theorist,,,,
Rhescuporis,Rhescuporis II,,0113-01-01T00:00:00Z,,,male,Q3027239,https://www.wikidata.org/wiki/Q3027239,notes
Seneca,Seneca,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z,Ancient Rome,playwright,male,Q2054,https://www.wikidata.org/wiki/Q2054,notes
,,,,,poet,,,,
,,,,,philosopher,,,,
,,,,,aphorist,,,,
,,,,,statesperson,,,,
,,,,,politician,,,,
,,,,,writer,,,,
Socrates,Socrates,0470-01-01T00:00:00Z,0399-02-15T00:00:00Z,Classical Athens,philosopher,male,Q913,https://www.wikidata.org/wiki/Q913,
,,,,,teacher,,,,
,,,,,writer,,,,
,,,,,ethicist,,,,
