person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
St. Michael,Archangel Michael,,,,,,Q45581,https://www.wikidata.org/wiki/Q45581,
Sylla,Sulla,0138-01-01T00:00:00Z,0178-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q483783,https://www.wikidata.org/wiki/Q483783,
,,,,,ancient Roman military personnel,,,,
,,,,,military leader,,,,
,,,,,politician,,,,
Tacitus,Tacitus,0055-01-01T00:00:00Z,0120-01-01T00:00:00Z,Ancient Rome,historian,male,Q2161,https://www.wikidata.org/wiki/Q2161,notes
,,,,,politician,,,,
,,,,,military personnel,,,,
,,,,,poet,,,,
,,,,,biographer,,,,
,,,,,annalist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
Terence,Terence,0185-01-01T00:00:00Z,0159-01-01T00:00:00Z,Ancient Rome,comedy writer,male,Q172048,https://www.wikidata.org/wiki/Q172048,notes
,,,,,poet,,,,
,,,,,writer,,,,
,,,,,playwright,,,,
Tiberius,Tiberius,0142-11-16T00:00:00Z,0037-03-16T00:00:00Z,Ancient Rome,military personnel,male,Q1407,https://www.wikidata.org/wiki/Q1407,
,,,,,politician,,,,
,,,,,soldier,,,,
Timoleon,Timoleon,0411-01-01T00:00:00Z,0337-01-01T00:00:00Z,,politician,male,Q451587,https://www.wikidata.org/wiki/Q451587,
,,,,,military personnel,,,,
Timoleon,Timoleon,0411-01-01T00:00:00Z,0337-01-01T00:00:00Z,,politician,male,Q451587,https://www.wikidata.org/wiki/Q451587,
,,,,,military personnel,,,,
Timoleon,Timoleon,0411-01-01T00:00:00Z,0337-01-01T00:00:00Z,,politician,male,Q451587,https://www.wikidata.org/wiki/Q451587,
,,,,,military personnel,,,,
Varus,Publius Quinctilius Varus,,0009-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q214765,https://www.wikidata.org/wiki/Q214765,
,,,,,ancient Roman military personnel,,,,
,,,,,politician,,,,
"Witold, Prince of Lithuania",Vytautas,1350-01-01T00:00:00Z,1430-10-27T00:00:00Z,Grand Duchy of Lithuania,politician,male,Q218186,https://www.wikidata.org/wiki/Q218186,
