person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Alexander,Alexander the Great,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,Macedonia,politician,male,Q8409,https://www.wikidata.org/wiki/Q8409,
,,,,,military leader,,,,
,,,,,monarch,,,,
Apollodorus,Apollodorus of Cassandreia,,0276-01-01T00:00:00Z,,politician,male,Q15872635,https://www.wikidata.org/wiki/Q15872635,
Aulus Gellius,Aulus Gellius,0130-01-01T00:00:00Z,0180-01-01T00:00:00Z,Ancient Rome,writer,male,Q294800,https://www.wikidata.org/wiki/Q294800,notes
,,,,,jurist,,,,
,,,,,grammarian,,,,
,,,,,compiler,,,,
,,,,,military personnel,,,,
,,,,,poet,,,,
,,,,,philosopher,,,,
Bessus the Paeonian,Bessus the Paeonian,,,,,,,,
Cato,Cato the Elder,0234-01-01T00:00:00Z,0149-01-01T00:00:00Z,Ancient Rome,writer,male,Q180081,https://www.wikidata.org/wiki/Q180081,
,,,,,Ancient Roman historian,,,,
,,,,,economist,,,,
,,,,,poet,,,,
,,,,,Ancient Roman politician,,,,
,,,,,philosopher,,,,
,,,,,orator,,,,
,,,,,historian,,,,
,,,,,soldier,,,,
Epicurus,Epicurus,0342-01-01T00:00:00Z,0270-01-01T00:00:00Z,Classical Athens,philosopher,male,Q43216,https://www.wikidata.org/wiki/Q43216,
,,,,,writer,,,,
Hesiod,Hesiod,0776-01-01T00:00:00Z,,Cyme,poet,male,Q44233,https://www.wikidata.org/wiki/Q44233,
,,,,,writer,,,,
,,,,,rhapsode,,,,
,,,,,mythographer,,,,
Juvenal,Juvenal,0055-01-01T00:00:00Z,0200-01-01T00:00:00Z,Ancient Rome,poet,male,Q193800,https://www.wikidata.org/wiki/Q193800,notes
,,,,,writer,,,,
,,,,,historian,,,,
,,,,,satirist,,,,
Juvenal,Juvenal,0055-01-01T00:00:00Z,0200-01-01T00:00:00Z,Ancient Rome,poet,male,Q193800,https://www.wikidata.org/wiki/Q193800,notes
,,,,,writer,,,,
,,,,,historian,,,,
,,,,,satirist,,,,
Lucretius,Lucretius,0194-01-01T00:00:00Z,0155-01-01T00:00:00Z,Ancient Rome,poet,male,Q47154,https://www.wikidata.org/wiki/Q47154,notes
,,,,,philosopher,,,,
,,,,,writer,,,,
Ovid,Ovid,0143-03-20T00:00:00Z,0017-01-01T00:00:00Z,Ancient Rome,poet,male,Q7198,https://www.wikidata.org/wiki/Q7198,notes
Petilius,Quintus Petillius Cerialis,0030-01-01T00:00:00Z,0083-01-01T00:00:00Z,Ancient Rome,politician,male,Q348926,https://www.wikidata.org/wiki/Q348926,
,,,,,military personnel,,,,
Philotas,Philotas,0365-01-01T00:00:00Z,0330-01-01T00:00:00Z,Macedonia,military personnel,male,Q346665,https://www.wikidata.org/wiki/Q346665,
,,,,,military commander,,,,
Plato,Plato,0428-01-01T00:00:00Z,0348-01-01T00:00:00Z,Classical Athens,philosopher,male,Q859,https://www.wikidata.org/wiki/Q859,
,,,,,epigrammatist,,,,
,,,,,poet,,,,
,,,,,writer,,,,
,,,,,philosopher of law,,,,
Publius Syrus,Publilius Syrus,0100-01-01T00:00:00Z,0100-01-01T00:00:00Z,Ancient Rome,writer,male,Q363375,https://www.wikidata.org/wiki/Q363375,notes
,,,,,playwright,,,,
,,,,,poet,,,,
,,,,,philosopher,,,,
,,,,,actor,,,,
Scipio,Scipio Africanus,0235-01-01T00:00:00Z,0183-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q2253,https://www.wikidata.org/wiki/Q2253,
,,,,,ancient Roman military personnel,,,,
Scipio,Scipio Africanus,0235-01-01T00:00:00Z,0183-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q2253,https://www.wikidata.org/wiki/Q2253,
,,,,,ancient Roman military personnel,,,,
"Pierre de Montaigne, seigneur de la Brousse","Pierre de Montaigne, seigneur de la Brousse",,,,,,,,https://www.geni.com/people/Pierre-de-Montaigne-seigneur-de-la-Brousse/6000000014217257359
Titus Livius,Titus Livius,0159-01-01T00:00:00Z,0017-01-01T00:00:00Z,Ancient Rome,historian,male,Q2039,https://www.wikidata.org/wiki/Q2039,
,,,,,writer,,,,
,,,,,poet,,,,
Virgil,Virgil,0170-10-15T00:00:00Z,0119-09-21T00:00:00Z,Ancient Rome,poet,male,Q1398,https://www.wikidata.org/wiki/Q1398,notes
,,,,,writer,,,,
